<Fe>,,,,Aplica tambien para ,,,,,
,,<Regimen>,,Documento Soporte,1,,Código del tipo de régimen fiscal,6.2.4. Régimen Fiscal,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode@listName
,,<IdMunicipio>,,Documento Soporte,1.1,,Código del municipio,13.4.3. Municipios ** Buscar link codigos de municipios DANE,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:ID
,,<Ciudad>,,Documento Soporte,1.1,,Nombre del municipio,,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CityName
,,<CodigoPostal>,,Documento Soporte,1.1,,Código Postal,,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:PostalZone
,,<Departamento>,,Documento Soporte,1.1,,Nombre del departamento,,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CountrySubentity
,,<IdDepartamento>,,Documento Soporte,1.1,,Código del departamento,13.4.2. Departamentos (ISO 3166-2:CO),cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CountrySubentityCode
,,<Direccion>,,Documento Soporte,1,,Texto libre con la dirección,,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:AddressLine/cbc:Line
,,<CodigoPais>,,Documento Soporte,1,,Código del Pais,13.4.1. Países (ISO 3166-1): ** Link ISO 3166-1 de Wikipedia,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:Country/cbc:IdentificationCode
,,<Pais>,,Documento Soporte,1,,Nombre del Pais,,
,,<IdMunicipioPhysicalLocation>,,Documento Soporte,0..1,,Código del municipio,13.4.3. Municipios ** Buscar link codigos de municipios DANE,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:ID
,,<CiudadPhysicalLocation>,,Documento Soporte,0..1,,Nombre del municipio,,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CityName
,,<CodigoPostalPhysicalLocation>,,Documento Soporte,0..1,,Código Postal,,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:PostalZone
,,<IdDepartamentoPhysicalLocation>,,Documento Soporte,0..1,,Código del departamento,13.4.2. Departamentos (ISO 3166-2:CO),cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CountrySubentityCode
,,<DepartamentoPhysicalLocation>,,Documento Soporte,0..1,,Nombre del departamento,,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CountrySubentity
,,<DireccionPhysicalLocation>,,Documento Soporte,0..1,,Texto libre con la dirección,,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:AddressLine/cbc:Line
,,<CodigoPaisPhysicalLocation>,,Documento Soporte,0..1,,Código del Pais,13.4.1. Países (ISO 3166-1): ** Link ISO 3166-1 de Wikipedia,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:Country/cbc:IdentificationCode
,,<PaisPhysicalLocation>,,Documento Soporte,0..1,,Nombre del Pais,,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:Country/cbc:Name
,,<Email>,,Documento Soporte,0..1,,Correo electrónico de contacto,,cac:AccountingSupplierParty/cac:Party/cac:Party/cac:Contact/cbc:ElectronicMail
,<Emisor>,,,Documento Soporte,1,,,,
,<OyREmisor>,,,,0..*,,,,
,    <CodigoOyR>,,,Documento Soporte,1,,,13.2.6.1 Responsabilidades y Obligaciones,cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode
,</OyREmisor>,,,,,,,,
,<Receptor>,,,,1,,Información relacionada con el receptor de la factura,,cac:AccountingCustomerParty
,,<TipoOrganizacion>,,Documento Soporte,0..1,,Código dian para el tipo de organización jurídica,13.2.3. Tipo de organización jurídica (Personas): cbc:AdditionalAccountID,cac:AccountingCustomerParty/cbc:AdditionalAccountID
,,<TipoIdentificacion>,,Documento Soporte,1,,Código Dian para el tipo de documento de identificación,13.2.1. Documento de identificación (Tipo de Identificador Fiscal),cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyId@schemeName
,,<Identificacion>,,Documento Soporte,1,,Identificación,,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyId
,,<Dv>,,Documento Soporte,1,,Dígito de verificación del numero de identificación (cuando aplica),,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyId@schemeID
,,<RazonSocial>,,Documento Soporte,1,,Razon social,,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:RegistrationName
,,<Regimen>,,Documento Soporte,1,,Código del tipo de régimen fiscal,6.2.4. Régimen Fiscal,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode@listName
,,,,,,,,,
,,<IdMunicipio>,,,1.1,,Código del municipio,13.4.3. Municipios ** Buscar link codigos de municipios DANE,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:ID
